 VARIABLES = X, Y, u, v
I= 71, J= 39
 9.59131400E-01 -8.98048077E+00 -3.14488730E-02 -4.14362202E-04
 1.91826280E+00 -8.98048077E+00 -2.87453009E-02  9.01466834E-05
 2.87739420E+00 -8.98048077E+00 -2.02050194E-02  2.79592246E-05
 3.83652560E+00 -8.98048077E+00 -2.84242621E-02  1.79069355E-03
 4.79565700E+00 -8.98048077E+00 -2.79858566E-02  1.42293330E-03
 5.75478840E+00 -8.98048077E+00 -2.88078290E-02  1.80049237E-03
 6.71391990E+00 -8.98048077E+00 -3.23447848E-02  2.83326891E-03
 7.67305130E+00 -8.98048077E+00 -3.10769171E-02  2.42946720E-03
 8.63218270E+00 -8.98048077E+00 -2.33042824E-02  4.47373323E-04
 9.59131410E+00 -8.98048077E+00 -2.29651177E-02 -1.01551639E-03
 1.05504455E+01 -8.98048077E+00 -3.15747309E-02  1.71059613E-04
 1.15095769E+01 -8.98048077E+00 -3.44194401E-02  2.70598817E-03
 1.24687083E+01 -8.98048077E+00 -3.49021037E-02  5.76007187E-03
 1.34278397E+01 -8.98048077E+00 -5.31655459E-02  4.38395920E-03
 1.43869712E+01 -8.98048077E+00 -5.57840395E-02  6.80346085E-03
 1.53461026E+01 -8.98048077E+00 -5.67158341E-02  1.05275487E-02
 1.63052340E+01 -8.98048077E+00 -8.73033847E-02  1.40825249E-02
 1.72643654E+01 -8.98048077E+00 -1.26697975E-01  8.12341191E-03
 1.82234968E+01 -8.98048077E+00 -1.62971219E-01  2.06742562E-02
 1.91826282E+01 -8.98048077E+00 -1.57444259E-01  1.29484675E-02
 2.01417596E+01 -8.98048077E+00 -1.51010587E-01 -5.31211339E-03
 2.11008911E+01 -8.98048077E+00 -1.26846071E-01 -8.75896890E-03
 2.20600225E+01 -8.98048077E+00 -1.09369489E-01 -1.73543749E-02
 2.30191539E+01 -8.98048077E+00 -8.69367018E-02 -1.93840555E-02
 2.39782853E+01 -8.98048077E+00 -6.71079990E-02 -1.80318598E-02
 2.49374167E+01 -8.98048077E+00 -3.02007241E-02 -1.28693330E-02
 2.58965481E+01 -8.98048077E+00 -1.32351205E-02 -1.01604691E-02
 2.68556795E+01 -8.98048077E+00 -7.93525472E-03 -3.22926639E-03
 2.78148109E+01 -8.98048077E+00  8.02131565E-04 -2.45305395E-03
 2.87739424E+01 -8.98048077E+00 -2.21992584E-03 -2.79925260E-03
 2.97330738E+01 -8.98048077E+00 -2.59786148E-03  1.18697491E-03
 3.06922052E+01 -8.98048077E+00 -4.78724076E-03  1.49185514E-03
 3.16513366E+01 -8.98048077E+00 -2.12931627E-02  1.40585219E-03
 3.26104680E+01 -8.98048077E+00 -2.86682501E-02  7.38419218E-03
 3.35695994E+01 -8.98048077E+00 -3.22739796E-02  7.27849586E-03
 3.45287308E+01 -8.98048077E+00 -5.19137293E-02  7.11898880E-03
 3.54878622E+01 -8.98048077E+00 -4.87941998E-02  4.23541979E-03
 3.64469937E+01 -8.98048077E+00 -5.80795064E-02 -8.72339905E-04
 3.74061251E+01 -8.98048077E+00 -6.57162320E-02 -1.87471757E-03
 3.83652565E+01 -8.98048077E+00 -5.19618113E-02  9.31738773E-03
 3.93243879E+01 -8.98048077E+00 -6.84927267E-02  1.00410426E-03
 4.02835193E+01 -8.98048077E+00 -9.03673853E-02 -3.03835136E-03
 4.12426507E+01 -8.98048077E+00 -1.00736561E-01 -9.48312274E-03
 4.22017821E+01 -8.98048077E+00 -1.01850549E-01 -6.29241097E-03
 4.31609136E+01 -8.98048077E+00 -8.72521111E-02  1.35018911E-03
 4.41200450E+01 -8.98048077E+00 -6.84351594E-02  6.71870103E-03
 4.50791764E+01 -8.98048077E+00 -1.14925673E-01  1.47028665E-03
 4.60383078E+01 -8.98048077E+00 -1.23809475E-01  2.07379206E-03
 4.69974392E+01 -8.98048077E+00 -1.05415658E-01  1.99315366E-03
 4.79565706E+01 -8.98048077E+00 -1.82582498E-01  3.85864779E-02
 4.89157020E+01 -8.98048077E+00 -2.70921575E-01  9.14660337E-02
 4.98748334E+01 -8.98048077E+00 -3.53432765E-01  3.88775208E-02
 5.08339649E+01 -8.98048077E+00 -3.53511872E-01  1.75210330E-02
 5.17930963E+01 -8.98048077E+00 -3.28892478E-01  5.99285228E-03
 5.27522277E+01 -8.98048077E+00 -3.12860395E-01 -5.17132516E-03
 5.37113591E+01 -8.98048077E+00 -3.61366340E-01  4.94176667E-03
 5.46704905E+01 -8.98048077E+00 -3.47121480E-01  3.76620736E-03
 5.56296219E+01 -8.98048077E+00 -3.54227444E-01  5.06638840E-03
 5.65887533E+01 -8.98048077E+00 -3.86584056E-01  6.64859307E-03
 5.75478848E+01 -8.98048077E+00 -3.11289296E-01  9.98313118E-03
 5.85070162E+01 -8.98048077E+00 -2.70901374E-01  9.97128959E-03
 5.94661476E+01 -8.98048077E+00 -2.47482010E-01 -2.20761469E-02
 6.04252790E+01 -8.98048077E+00 -2.63173051E-01 -4.26342392E-02
 6.13844104E+01 -8.98048077E+00 -2.60953300E-01 -9.43602723E-03
 6.23435418E+01 -8.98048077E+00 -2.39081927E-01  9.12937672E-03
 6.33026732E+01 -8.98048077E+00 -2.12069632E-01  1.23499935E-02
 6.42618046E+01 -8.98048077E+00 -1.72518913E-01 -2.55505215E-02
 6.52209361E+01 -8.98048077E+00 -1.76489038E-01 -2.24178043E-02
 6.61800675E+01 -8.98048077E+00 -1.52344556E-01 -1.29949577E-02
 6.71391989E+01 -8.98048077E+00 -1.35805068E-01 -8.80445999E-03
 0.00000000E+00 -8.47083692E+00 -3.04957080E-02  4.54367161E-03
 9.59131400E-01 -8.47083692E+00 -3.77781463E-02  8.47820678E-04
 1.91826280E+00 -8.47083692E+00 -3.49562368E-02  1.01969958E-03
 2.87739420E+00 -8.47083692E+00 -3.23209709E-02  9.56097855E-04
 3.83652560E+00 -8.47083692E+00 -3.57694364E-02  2.87341497E-03
 4.79565700E+00 -8.47083692E+00 -3.42146667E-02  3.32580163E-03
 5.75478840E+00 -8.47083692E+00 -3.78146802E-02  2.31557093E-03
 6.71391990E+00 -8.47083692E+00 -4.20441649E-02  7.23488563E-04
 7.67305130E+00 -8.47083692E+00 -4.65641914E-02  1.11888775E-03
 8.63218270E+00 -8.47083692E+00 -2.82711589E-02  1.54446288E-03
 9.59131410E+00 -8.47083692E+00 -3.46915982E-02 -3.42757492E-04
 1.05504455E+01 -8.47083692E+00 -3.24469066E-02  2.08119281E-03
 1.15095769E+01 -8.47083692E+00 -5.41626537E-02  4.67888567E-03
 1.24687083E+01 -8.47083692E+00 -5.47255547E-02  8.83289785E-03
 1.34278397E+01 -8.47083692E+00 -6.28369838E-02  1.45070799E-02
 1.43869712E+01 -8.47083692E+00 -7.05837732E-02  1.34804164E-02
 1.53461026E+01 -8.47083692E+00 -5.25887771E-02  1.84454900E-02
 1.63052340E+01 -8.47083692E+00 -1.05831006E-01  1.56362303E-02
 1.72643654E+01 -8.47083692E+00 -1.49252853E-01  1.80550266E-02
 1.82234968E+01 -8.47083692E+00 -1.70822690E-01  3.10114135E-02
 1.91826282E+01 -8.47083692E+00 -1.70758902E-01  2.05383486E-02
 2.01417596E+01 -8.47083692E+00 -1.67173105E-01 -6.94229410E-03
 2.11008911E+01 -8.47083692E+00 -1.40981422E-01 -1.15979107E-02
 2.20600225E+01 -8.47083692E+00 -1.07423314E-01 -1.89566113E-02
 2.30191539E+01 -8.47083692E+00 -7.28183021E-02 -3.66421437E-02
 2.39782853E+01 -8.47083692E+00 -6.10785600E-02 -3.02728066E-02
 2.49374167E+01 -8.47083692E+00 -3.57986747E-02 -1.86005882E-02
 2.58965481E+01 -8.47083692E+00 -2.04999703E-02 -1.46683258E-02
 2.68556795E+01 -8.47083692E+00 -1.70308091E-02 -6.34339708E-03
 2.78148109E+01 -8.47083692E+00 -3.51176549E-03 -1.28986752E-03
 2.87739424E+01 -8.47083692E+00 -1.02729332E-03 -2.32506093E-03
 2.97330738E+01 -8.47083692E+00 -7.06593723E-03  8.50770387E-04
 3.06922052E+01 -8.47083692E+00 -8.75577766E-03  2.66651353E-03
 3.16513366E+01 -8.47083692E+00 -2.07047131E-02  7.73696364E-03
 3.26104680E+01 -8.47083692E+00 -2.56381494E-02  4.27332812E-03
 3.35695994E+01 -8.47083692E+00 -3.17702238E-02  6.74413600E-03
 3.45287308E+01 -8.47083692E+00 -4.33920339E-02  6.20660692E-03
 3.54878622E+01 -8.47083692E+00 -4.82592441E-02  5.21804221E-03
 3.64469937E+01 -8.47083692E+00 -1.05497069E-01  2.52864482E-03
 3.74061251E+01 -8.47083692E+00 -1.19833536E-01  4.57727456E-04
 3.83652565E+01 -8.47083692E+00 -1.03257892E-01 -2.04970999E-04
 3.93243879E+01 -8.47083692E+00 -1.17326523E-01 -2.58308499E-04
 4.02835193E+01 -8.47083692E+00 -1.24404676E-01 -1.16043888E-02
 4.12426507E+01 -8.47083692E+00 -1.27780987E-01 -1.75938361E-02
 4.22017821E+01 -8.47083692E+00 -1.33011520E-01 -1.00190136E-02
 4.31609136E+01 -8.47083692E+00 -1.09599465E-01 -4.56870995E-04
 4.41200450E+01 -8.47083692E+00 -1.14968621E-01  1.04295202E-02
 4.50791764E+01 -8.47083692E+00 -1.31441182E-01  7.92717738E-03
 4.60383078E+01 -8.47083692E+00 -1.45474945E-01  3.83462222E-03
 4.69974392E+01 -8.47083692E+00 -1.55471359E-01  2.84741641E-02
 4.79565706E+01 -8.47083692E+00 -2.02257623E-01  1.51049333E-01
 4.89157020E+01 -8.47083692E+00 -3.25592444E-01  1.97172082E-01
 4.98748334E+01 -8.47083692E+00 -4.11225057E-01  7.82684735E-02
 5.08339649E+01 -8.47083692E+00 -3.80756242E-01  3.73213562E-03
 5.17930963E+01 -8.47083692E+00 -3.26661418E-01 -4.01934822E-03
 5.27522277E+01 -8.47083692E+00 -2.88383007E-01 -1.50099594E-03
 5.37113591E+01 -8.47083692E+00 -2.93340026E-01  1.10740333E-02
 5.46704905E+01 -8.47083692E+00 -2.65012157E-01 -1.23640589E-02
 5.56296219E+01 -8.47083692E+00 -2.86885958E-01  7.15520908E-03
 5.65887533E+01 -8.47083692E+00 -2.11789891E-01  2.07860384E-03
 5.75478848E+01 -8.47083692E+00 -1.92630444E-01  2.70887134E-02
 5.85070162E+01 -8.47083692E+00 -2.43393502E-01  1.52756498E-02
 5.94661476E+01 -8.47083692E+00 -2.40297684E-01 -2.04398955E-02
 6.04252790E+01 -8.47083692E+00 -1.94366033E-01 -2.85460824E-02
 6.13844104E+01 -8.47083692E+00 -2.16509612E-01  5.47464438E-03
 6.23435418E+01 -8.47083692E+00 -2.40783066E-01  2.07647391E-02
 6.33026732E+01 -8.47083692E+00 -1.77101904E-01  1.71264410E-02
 6.42618046E+01 -8.47083692E+00 -1.45166246E-01  2.22074999E-03
 6.52209361E+01 -8.47083692E+00 -1.62484160E-01 -4.04215725E-02
 6.61800675E+01 -8.47083692E+00 -1.53940268E-01  3.03636205E-03
 6.71391989E+01 -8.47083692E+00 -1.77518514E-01 -1.70943572E-02
 0.00000000E+00 -7.96119307E+00 -3.53880032E-02  2.42836296E-03
 9.59131400E-01 -7.96119307E+00 -3.59244580E-02  1.80365964E-03
 1.91826280E+00 -7.96119307E+00 -3.36577081E-02  2.72829203E-03
 2.87739420E+00 -7.96119307E+00 -3.64638432E-02  2.19795519E-03
 3.83652560E+00 -7.96119307E+00 -3.99530819E-02  3.82612632E-03
 4.79565700E+00 -7.96119307E+00 -4.21822070E-02  5.37354174E-03
 5.75478840E+00 -7.96119307E+00 -3.94116659E-02  3.34411659E-03
 6.71391990E+00 -7.96119307E+00 -4.39797505E-02  1.40739559E-03
 7.67305130E+00 -7.96119307E+00 -5.07104530E-02  3.67825215E-03
 8.63218270E+00 -7.96119307E+00 -4.47317367E-02  2.34998269E-03
 9.59131410E+00 -7.96119307E+00 -3.28317533E-02  6.64840585E-03
 1.05504455E+01 -7.96119307E+00 -4.30709111E-02  4.13956413E-03
 1.15095769E+01 -7.96119307E+00 -5.29412593E-02  9.97479549E-03
 1.24687083E+01 -7.96119307E+00 -4.59992655E-02  1.87958941E-02
 1.34278397E+01 -7.96119307E+00 -5.35578804E-02  2.62085213E-02
 1.43869712E+01 -7.96119307E+00 -7.33331917E-02  1.97821234E-02
 1.53461026E+01 -7.96119307E+00 -6.98440185E-02  2.66544844E-02
 1.63052340E+01 -7.96119307E+00 -9.09553506E-02  2.76541820E-02
 1.72643654E+01 -7.96119307E+00 -1.54328699E-01  5.04251200E-02
 1.82234968E+01 -7.96119307E+00 -1.75313748E-01  3.11419327E-02
 1.91826282E+01 -7.96119307E+00 -1.94728617E-01  1.69862536E-02
 2.01417596E+01 -7.96119307E+00 -1.73854592E-01 -1.02808403E-02
 2.11008911E+01 -7.96119307E+00 -1.38201415E-01 -4.25061331E-02
 2.20600225E+01 -7.96119307E+00 -9.16033692E-02 -4.84457093E-02
 2.30191539E+01 -7.96119307E+00 -6.36070621E-02 -4.02991569E-02
 2.39782853E+01 -7.96119307E+00 -4.26722112E-02 -3.70693728E-02
 2.49374167E+01 -7.96119307E+00 -2.94218804E-02 -1.62942268E-02
 2.58965481E+01 -7.96119307E+00 -1.76392961E-02 -2.41330705E-02
 2.68556795E+01 -7.96119307E+00 -7.49761063E-03 -2.29380847E-02
 2.78148109E+01 -7.96119307E+00  5.26730337E-04 -7.59581500E-03
 2.87739424E+01 -7.96119307E+00 -1.87197629E-03 -1.21086460E-02
 2.97330738E+01 -7.96119307E+00 -7.49958486E-03  4.94995963E-03
 3.06922052E+01 -7.96119307E+00 -4.22804003E-03  6.48245687E-03
 3.16513366E+01 -7.96119307E+00 -1.04158552E-02  4.56989284E-03
 3.26104680E+01 -7.96119307E+00 -1.32779936E-02  1.60124479E-02
 3.35695994E+01 -7.96119307E+00 -2.20550164E-02  4.14454805E-03
 3.45287308E+01 -7.96119307E+00 -3.26274676E-02  7.10420134E-03
 3.54878622E+01 -7.96119307E+00 -4.00370366E-02  7.17594497E-03
 3.64469937E+01 -7.96119307E+00 -6.48018308E-02  8.72329273E-03
 3.74061251E+01 -7.96119307E+00 -1.06567551E-01  2.89812960E-03
 3.83652565E+01 -7.96119307E+00 -9.06610490E-02 -1.88905910E-04
 3.93243879E+01 -7.96119307E+00 -1.11799789E-01  4.30348618E-03
 4.02835193E+01 -7.96119307E+00 -1.40457725E-01 -1.02147720E-02
 4.12426507E+01 -7.96119307E+00 -1.58204030E-01 -1.52228902E-02
 4.22017821E+01 -7.96119307E+00 -1.52495483E-01 -1.09344591E-02
 4.31609136E+01 -7.96119307E+00 -1.59798186E-01 -1.16734911E-02
 4.41200450E+01 -7.96119307E+00 -1.39871762E-01  1.71795264E-02
 4.50791764E+01 -7.96119307E+00 -1.38407570E-01  2.33039421E-02
 4.60383078E+01 -7.96119307E+00 -1.38291244E-01  9.96616338E-03
 4.69974392E+01 -7.96119307E+00 -1.49933759E-01  1.03486687E-01
 4.79565706E+01 -7.96119307E+00 -1.99395485E-01  1.63581410E-01
 4.89157020E+01 -7.96119307E+00 -2.92233358E-01  2.23255950E-01
 4.98748334E+01 -7.96119307E+00 -3.46463524E-01  1.54247367E-01
 5.08339649E+01 -7.96119307E+00 -3.09274763E-01 -2.27377077E-02
 5.17930963E+01 -7.96119307E+00 -2.49714358E-01 -6.26953566E-03
 5.27522277E+01 -7.96119307E+00 -2.05737849E-01  9.90136348E-03
 5.37113591E+01 -7.96119307E+00 -2.09129285E-01  1.97219768E-02
 5.46704905E+01 -7.96119307E+00 -1.24707452E-01  1.05456300E-02
 5.56296219E+01 -7.96119307E+00 -1.26295596E-01 -3.75957824E-04
 5.65887533E+01 -7.96119307E+00 -1.29307034E-01  9.92355963E-03
 5.75478848E+01 -7.96119307E+00 -1.50979897E-01  6.22955103E-02
 5.85070162E+01 -7.96119307E+00 -1.70992352E-01  5.34061374E-02
 5.94661476E+01 -7.96119307E+00 -1.98315825E-01  2.89164590E-02
 6.04252790E+01 -7.96119307E+00 -2.52743817E-01  2.99650141E-02
 6.13844104E+01 -7.96119307E+00 -2.25176634E-01  2.86645455E-02
 6.23435418E+01 -7.96119307E+00 -2.32556155E-01 -2.11653083E-02
 6.33026732E+01 -7.96119307E+00 -2.06452513E-01  2.55300174E-02
 6.42618046E+01 -7.96119307E+00 -1.36059280E-01  8.22389114E-03
 6.52209361E+01 -7.96119307E+00 -1.16253444E-01  4.19134513E-02
 6.61800675E+01 -7.96119307E+00 -1.57552346E-01  4.07060965E-03
 6.71391989E+01 -7.96119307E+00 -1.02244920E-01 -1.04584759E-02
 0.00000000E+00 -7.45154921E+00 -3.59240993E-02  2.67113301E-03
 9.59131400E-01 -7.45154921E+00 -3.30284450E-02  4.83173176E-03
 1.91826280E+00 -7.45154921E+00 -3.06702835E-02  4.44316187E-03
 2.87739420E+00 -7.45154921E+00 -3.33453753E-02  3.35290217E-03
 3.83652560E+00 -7.45154921E+00 -3.90840026E-02  4.17598870E-03
 4.79565700E+00 -7.45154921E+00 -4.03975271E-02  4.98749783E-03
 5.75478840E+00 -7.45154921E+00 -3.48642820E-02  3.14274413E-03
 6.71391990E+00 -7.45154921E+00 -3.81659313E-02  2.69775234E-03
 7.67305130E+00 -7.45154921E+00 -4.40701305E-02 -1.07283499E-03
 8.63218270E+00 -7.45154921E+00 -2.55512929E-02 -5.51338931E-03
 9.59131410E+00 -7.45154921E+00 -1.95006549E-02  1.69039411E-03
 1.05504455E+01 -7.45154921E+00 -3.57838933E-02  6.12749523E-03
 1.15095769E+01 -7.45154921E+00 -3.76119654E-02  1.14715594E-02
 1.24687083E+01 -7.45154921E+00 -3.43470745E-02  2.17456569E-02
 1.34278397E+01 -7.45154921E+00 -2.98138392E-02  2.25830227E-02
 1.43869712E+01 -7.45154921E+00 -5.54269172E-02  2.69503886E-02
 1.53461026E+01 -7.45154921E+00 -6.93880468E-02  3.64204247E-02
 1.63052340E+01 -7.45154921E+00 -3.91342503E-02  5.20184032E-02
 1.72643654E+01 -7.45154921E+00 -7.23001517E-02  9.80238007E-02
 1.82234968E+01 -7.45154921E+00 -1.43453996E-01  8.34708130E-02
 1.91826282E+01 -7.45154921E+00 -1.88709286E-01  2.93471450E-02
 2.01417596E+01 -7.45154921E+00 -1.53752714E-01 -2.99150347E-02
 2.11008911E+01 -7.45154921E+00 -1.30123506E-01 -4.54319647E-02
 2.20600225E+01 -7.45154921E+00 -6.75047597E-02 -5.67844528E-02
 2.30191539E+01 -7.45154921E+00 -5.00723871E-02 -7.81929410E-02
 2.39782853E+01 -7.45154921E+00 -1.33842178E-02 -6.98078054E-02
 2.49374167E+01 -7.45154921E+00 -2.47880795E-02 -4.96462970E-02
 2.58965481E+01 -7.45154921E+00  1.78063426E-02 -5.28834442E-02
 2.68556795E+01 -7.45154921E+00  2.21572079E-02 -1.39290301E-02
 2.78148109E+01 -7.45154921E+00  2.95003592E-02 -1.97386236E-02
 2.87739424E+01 -7.45154921E+00  3.50371166E-02 -4.95919127E-03
 2.97330738E+01 -7.45154921E+00  2.50403661E-02  3.32680678E-03
 3.06922052E+01 -7.45154921E+00  2.46532673E-02  1.39720700E-02
 3.16513366E+01 -7.45154921E+00  2.69107735E-02  1.36073446E-02
 3.26104680E+01 -7.45154921E+00  5.01012665E-03  1.95571931E-02
 3.35695994E+01 -7.45154921E+00 -2.08285363E-03  5.55566992E-03
 3.45287308E+01 -7.45154921E+00 -8.94034061E-03  1.73264714E-02
 3.54878622E+01 -7.45154921E+00 -1.59055574E-02  1.95969533E-02
 3.64469937E+01 -7.45154921E+00 -2.80760950E-02  1.29300959E-02
 3.74061251E+01 -7.45154921E+00 -4.35654206E-02  6.95121251E-03
 3.83652565E+01 -7.45154921E+00 -5.96179612E-02  2.82914970E-03
 3.93243879E+01 -7.45154921E+00 -7.27620214E-02 -2.84726096E-03
 4.02835193E+01 -7.45154921E+00 -9.66683892E-02 -1.13202703E-02
 4.12426507E+01 -7.45154921E+00 -1.03131931E-01 -1.45040154E-02
 4.22017821E+01 -7.45154921E+00 -1.26504437E-01 -2.41164517E-02
 4.31609136E+01 -7.45154921E+00 -1.31449547E-01 -2.22117074E-02
 4.41200450E+01 -7.45154921E+00 -1.11985702E-01  2.21466682E-02
 4.50791764E+01 -7.45154921E+00 -1.14800035E-01  4.73641635E-05
 4.60383078E+01 -7.45154921E+00 -1.42637106E-01  3.05076829E-02
 4.69974392E+01 -7.45154921E+00 -1.16726708E-01  1.39472302E-01
 4.79565706E+01 -7.45154921E+00 -1.61098211E-01  2.17487627E-01
 4.89157020E+01 -7.45154921E+00 -2.19284172E-01  2.33896519E-01
 4.98748334E+01 -7.45154921E+00 -2.85648740E-01  1.75636628E-01
 5.08339649E+01 -7.45154921E+00 -1.75454329E-01 -3.26610793E-03
 5.17930963E+01 -7.45154921E+00 -1.77917334E-01 -1.44079370E-02
 5.27522277E+01 -7.45154921E+00 -1.25056985E-01  3.42304496E-03
 5.37113591E+01 -7.45154921E+00 -1.21015920E-01  3.19835230E-02
 5.46704905E+01 -7.45154921E+00 -6.51791787E-02  9.50736284E-03
 5.56296219E+01 -7.45154921E+00 -4.54190778E-02 -9.05198751E-05
 5.65887533E+01 -7.45154921E+00 -7.69994806E-02  4.29109031E-02
 5.75478848E+01 -7.45154921E+00 -7.80911198E-02  5.54250925E-02
 5.85070162E+01 -7.45154921E+00 -1.53144138E-01  7.24806387E-02
 5.94661476E+01 -7.45154921E+00 -1.73764789E-01  1.23845633E-01
 6.04252790E+01 -7.45154921E+00 -1.67966303E-01  7.88221234E-02
 6.13844104E+01 -7.45154921E+00 -1.72538115E-01  6.46145544E-02
 6.23435418E+01 -7.45154921E+00 -1.76480510E-01  1.02788919E-02
 6.33026732E+01 -7.45154921E+00 -1.56020201E-01 -2.45378076E-02
 6.42618046E+01 -7.45154921E+00 -7.82521000E-02  4.88596132E-02
 6.52209361E+01 -7.45154921E+00 -4.47680990E-02  7.09653945E-02
 6.61800675E+01 -7.45154921E+00 -7.11710076E-02  4.96665399E-02
